name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,discovered_by,simbad,GSC,openexoplanet,Title,Authors,Journal,URL,E_max_method,E_max_1yr_erg,ICRS,RAH,RAM,RAS,DECS,DECH,DECM,DECS.1,Aspot_u,Prot,Parallaxes(mas),data sourse,TIC,star_distance_source,star_distance_match,star_distance_source_detail,nasa_pl_tranmid,nasa_pl_tranmiderr1,nasa_pl_tranmiderr2,nasa_tran_flag,nasa_ttv_flag,nasa_pl_trandep,nasa_pl_trandeperr1,nasa_pl_trandeperr2,nasa_pl_trandur,nasa_pl_trandurerr1,nasa_pl_trandurerr2,nasa_pl_imppar,nasa_pl_impparerr1,nasa_pl_impparerr2,nasa_pl_ratdor,nasa_pl_ratdorerr1,nasa_pl_ratdorerr2,nasa_pl_ratror,nasa_pl_ratrorerr1,nasa_pl_ratrorerr2,nasa_pl_occdep,nasa_pl_orbincl,nasa_pl_orbinclerr1,nasa_pl_orbinclerr2,nasa_rowupdate,nasa_pl_pubdate,nasa_match_method,nasa_match_name,nasa_match_score,exokyoto_source,exokyoto_source_detail,Abstract,verification_status,revision_note
ASol d(100MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,Young Sun(1000MY),0,0,,,,,,0,,,0.0122,,,1,,,0.92,,,G3,0.1,,,5720,,,,,,,,,,,,0,0,,,,,,,,,,,0.3,2.7,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol d(500MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,Young Sun(500MY),0,0,,,,,,0,,,0.0122,,,1,,,0.9,,,G3,0.5,,,5672,,,,,,,,,,,,0,0,,,,,,,,,,,0.08,7.9,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
Asol d(700MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,Young Sun(1000MY),0,0,,,,,,0,,,0.0122,,,1,,,0.903,,,G3,0.7,,,5675,,,,,,,,,,,,0,0,,,,,,,,,,,0.075,9,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol d(1000MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,Young Sun(1000MY),0,0,,,,,,0,,,0.0122,,,1,,,0.908,,,G3,1,,,5678,,,,,,,,,,,,0,0,,,,,,,,,,,0.07,11.3,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol d(1500MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,Young Sun(1500MY),0,0,,,,,,0,,,0.0122,,,1,,,0.918,,,G3,1.5,,,5695,,,,,,,,,,,,0,0,,,,,,,,,,,0.05,14,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol d(2000MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,Young Sun(2000MY),0,0,,,,,,0,,,0.0122,,,1,,,0.925,,,G2V,2,,,5706,,,,,,,,,,,,0,0,,,,,,,,,,,0.03,16.2,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol d(2500MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,Young Sun(2500MY),0,0,,,,,,0,,,0.0122,,,1,,,0.944,,,G2V,2.5,,,5724,,,,,,,,,,,,0,0,,,,,,,,,,,0.02,18.2,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol d(3000MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,Sun(3000MY),0,0,,,,,,0,,,0.0122,,,1,,,0.955,,,G2V,3,,,5736,,,,,,,,,,,,0,0,,,,,,,,,,,0.018,20,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol d(3500MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,Sun(3500MY),0,0,,,,,,0,,,0.0122,,,1,,,0.97,,,G2V,3.5,,,5753,,,,,,,,,,,,0,0,,,,,,,,,,,0.011,21.7,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
ASol d(4000MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earth,,Sun(4000MY),0,0,,,,,,0,,,0.0122,,,1,,,0.982,,,G2V,4,,,5770,,,,,,,,,,,,0,0,,,,,,,,,,,0.009,23.3,,Exoplanet.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXOKYOTO_ORIGINAL,protected (Solar System / alt-Sun / ISO),,,
