group_name,primary_alias,member_aliases,star_list,physical_info,member_params,separation_au,period_days,separation_notes,period_notes,binary_semimajor_axis_au,binary_period_days,binary_eccentricity,binary_inclination_deg,planet_info,planet_orbit_type,planet_orbit_center,planet_period_days,planet_semimajor_axis_au,planet_eccentricity,display_notes,alpha_scene_positions,alpha_scene_radii,unresolved_proxy_x,unresolved_proxy_radii,unresolved_scene_camera,alpha_scene_camera,scene_back_target_au,star_size_mul_cycle,max_angular_radius,auto_tour_order,binary_tour_enabled,binary_tour_scene_step,binary_tour_binary_step,binary_tour_planet_step,binary_tour_night_step,binary_tour_return_target,auto_binary_target,auto_scene_target,night_planet,night_view_hint,data_quality,source_notes,binary_button_status,scene_status,night_angle_status,display_proxy_primary_radius,display_proxy_secondary_radius,display_proxy_separation,last_verified_date,verified_by
Alpha Centauri group,Rigil Kentaurus,alpha cen a|alpha centauri a|alf cen a|alp1cen|hd 128620|gl 559a|gj 559 a|rigil kentaurus|alpha cen b|alpha centauri b|alf cen b|alp2cen|hd 128621|gl 559b|gj 559 b|toliman|proxima cen|proxima centauri|proxima|alpha cen c|hip 70890|gj 551|gl 551|v645 cen|gliese 551|hic 70890,Rigil Kentaurus / Toliman / Proxima Centauri,A: G2V; B: K1V; C: M5.5Ve. Numeric Teff/R/M lives in member_params.,A:G2V|5790|1.227|1.10;B:K1V|5260|0.865|0.91;C:M5.5Ve|3050|0.14|0.122,23.4,29187,A-B physical semimajor axis used for Binary/Scene logic; AB-C wide component approx 13000 AU.,A-B period used for Binary/Scene logic; AB-C outer period TBD.,23.4,29187,A-B 0.5179; AB-C TBD,A-B 79.2; AB-C TBD,Proxima Centauri b,S-type/circumstellar around Proxima Centauri,Proxima Centauri,11.186,0.0485,TBD/low,resolved_real_members; alpha_scene_custom; surface_priority,"Proxima=-64,0,-3; Rigil=36,7,2; Toliman=52,-7,-1","Proxima=2.4; Rigil=5.8; Toliman=4.6; scale=sqrt(StarMul)/sqrt(1000), min=0.22",N/A,N/A,N/A,"eye=0,-138,42; target=4,0,0; up=0,0,1",150,1|10|100|1000,0.03,10,yes,Show Alpha Centauri three-star context,"Visit Rigil Kentaurus, Toliman, then Proxima Centauri",Arrive at Proxima Centauri b,Show sky with Proxima as red host and Rigil/Toliman as bright companion stars,Solar System,Toliman / Proxima Centauri,Alpha Centauri three-star explanatory Scene,Proxima Centauri b,Find angle where Rigil/Toliman are bright point-like stars; Proxima remains red host.,"mixed: resolved in HYG/Gaia, physical fields need citation pass",NASA-ready source audit required before public data release,pending,pending,pending,0.34 for unresolved display proxy,0.18 for unresolved display proxy,0.92 for unresolved display proxy,TBD,TBD
Kepler-16 AB,Kepler-16 (AB),kepler-16 a|kepler-16a|kepler 16 a|kepler-16 b|kepler-16b|kepler 16 b|kepler-16 (ab)|kepler-16(ab)|kepler-16 ab|kepler-16ab,Kepler-16 A / Kepler-16 B,A: K-dwarf; B: M-dwarf; catalog often unresolved as (AB). Numeric in member_params.,A:K-dwarf|4450|0.6489|0.6897;B:M-dwarf|3300|0.22623|0.20255,0.22431,41.0776,AB binary semimajor axis.,AB binary orbital period.,0.22431,41.0776,0.15944,90.304,Kepler-16 b,P-type/circumbinary,Kepler-16 AB barycenter,228.776,0.7048,0.00685,catalog_unresolved; display_proxy_pair; tatooine_priority,N/A,N/A,0.0|0.92,0.34|0.18,"eye=0,-4.2,1.15; target=0.32,0,0.02; up=0,0,1",N/A,display_proxy,1|10|100|1000,0.03,20,yes,Show Kepler-16 AB proxy pair,Visit both proxy suns A/B,Arrive at Kepler-16 b,Find Tatooine view with both suns above horizon,Solar System,Kepler-16 display proxy B,Kepler-16 AB proxy pair close Scene,Kepler-16 b,Find Tatooine angle with both proxy suns above horizon.,orbit seed present; stellar physical fields need citation pass,Doyle et al./NASA Exoplanet Archive source audit required,pending,pending,pending,0.34 for unresolved display proxy,0.18 for unresolved display proxy,0.92 for unresolved display proxy,TBD,TBD
GJ 667 ABC,GJ 667 A,gj 667 a|gliese 667 a|gj 667 b|gliese 667 b|gj 667 c|gliese 667 c|hip 84709,GJ 667 A / GJ 667 B / GJ 667 C,A: K3V; B: K5V; C: M1.5V (planet host). Numeric in member_params.,A:K3V|4880|0.76|0.73;B:K5V|4470|0.70|0.69;C:M1.5V|3700|0.42|0.33,12.6,15395,A-B physical semimajor axis used for Binary/Scene logic; AB-C projected separation approx 230 AU.,A-B period used for Binary/Scene logic; AB-C long-period/TBD.,12.6,15395,A-B approx 0.58; AB-C TBD,TBD,GJ 667 C planets,S-type/circumstellar around GJ 667 C in triple system,GJ 667 C,multi-planet,multi-planet,multi-planet/TBD,multiple_system; needs verification,N/A,N/A,0.0|3.5,0.34|0.18,"eye=0,-4.2,1.15; target=0.32,0,0.02; up=0,0,1",N/A,display_proxy,1|10|100|1000,0.03,30,yes,Show GJ 667 triple-system context,"Visit A/B pair context, then C host",Arrive at GJ 667 C planet candidate,"Show sky from GJ 667 C planet; A/B are companion stars, not local twin suns",Solar System,TBD,TBD,GJ 667 C planet candidate,TBD,preliminary source pass; AB-C outer orbit remains approximate,GJ 667 planets orbit C; AB pair and wide C separation need final literature audit,pending,pending,pending,0.34 for unresolved display proxy,0.18 for unresolved display proxy,0.92 for unresolved display proxy,TBD,TBD
Kepler-34 AB,Kepler-34 (AB),kepler-34 a|kepler-34a|kepler-34 (ab)|kepler-34(ab)|kepler-34 ab|kepler-34 b|kepler-34b,Kepler-34 AB stellar components,"spectra, Teff, radius from discovery paper; catalog may be unresolved as AB. Numeric in member_params.",A:G-dwarf|5913|1.1620|1.0479;B:G-dwarf|5867|1.0927|1.0208,0.22882,27.7958,AB binary semimajor axis; see source_notes for audit status.,AB binary orbital period; see source_notes for audit status.,0.22882,27.7958,0.52087,89.8584,Kepler-34 b,P-type/circumbinary,Kepler-34 AB barycenter,288.822,1.0896,0.182,catalog_unresolved; display_proxy_pair; needs verification,N/A,N/A,0.0|0.929,0.34|0.18,"eye=0,-4.2,1.15; target=0.32,0,0.02; up=0,0,1",N/A,display_proxy,1|10|100|1000,0.03,43,yes,Show Kepler-34 AB binary system overview,Visit Kepler-34 AB proxy A/B components,Arrive at Kepler-34 b,Search sky angle where both Kepler-34 AB suns are visible,Solar System,TBD,Kepler-34 AB proxy pair close Scene,Kepler-34 AB planet,TBD,source-audited first pass,Welsh et al. 2012 Nature; NASA/Exoplanet catalog cross-check,pending,pending,pending,0.34 for unresolved display proxy,0.18 for unresolved display proxy,0.92 for unresolved display proxy,TBD,TBD
Kepler-35 AB,Kepler-35 (AB),kepler-35 a|kepler-35a|kepler-35 (ab)|kepler-35(ab)|kepler-35 ab|kepler-35 b|kepler-35b,Kepler-35 AB stellar components,"spectra, Teff, radius from discovery paper; catalog may be unresolved as AB. Numeric in member_params.",A:G-dwarf|5606|1.0284|0.8877;B:G-dwarf|5202|0.7861|0.8094,0.17617,20.7337,AB binary semimajor axis; see source_notes for audit status.,AB binary orbital period; see source_notes for audit status.,0.17617,20.7337,0.1421,90.4238,Kepler-35 b,P-type/circumbinary,Kepler-35 AB barycenter,131.458,0.60347,0.042,catalog_unresolved; display_proxy_pair; needs verification,N/A,N/A,0.0|0.815,0.34|0.18,"eye=0,-4.2,1.15; target=0.32,0,0.02; up=0,0,1",N/A,display_proxy,1|10|100|1000,0.03,44,yes,Show Kepler-35 AB binary system overview,Visit Kepler-35 AB proxy A/B components,Arrive at Kepler-35 b,Search sky angle where both Kepler-35 AB suns are visible,Solar System,TBD,Kepler-35 AB proxy pair close Scene,Kepler-35 AB planet,TBD,source-audited first pass,Welsh et al. 2012 Nature; NASA/Exoplanet catalog cross-check,pending,pending,pending,0.34 for unresolved display proxy,0.18 for unresolved display proxy,0.92 for unresolved display proxy,TBD,TBD
Kepler-47 AB,Kepler-47 A,kepler-47 a|kepler-47a|kepler-47 (ab)|kepler-47(ab)|kepler-47 ab|kepler-47 b|kepler-47b,Kepler-47 AB stellar components,"spectra, Teff, radius from discovery paper; catalog may be unresolved as AB. Numeric in member_params.",A:G-dwarf|5636|0.964|1.043;B:M-dwarf|3357|0.351|0.362,0.0836,7.448,AB binary semimajor axis; see source_notes for audit status.,AB binary orbital period; see source_notes for audit status.,0.0836,7.448,0.0234,89.34,Kepler-47 b/c/d,P-type/circumbinary,Kepler-47 AB barycenter,49.51 / 187.4 / 303.16,0.296 / 0.699 / 0.989,multi-planet,catalog_unresolved; display_proxy_pair; needs verification,N/A,N/A,0.0|0.562,0.34|0.18,"eye=0,-4.2,1.15; target=0.32,0,0.02; up=0,0,1",N/A,display_proxy,1|10|100|1000,0.03,45,yes,Show Kepler-47 AB binary system overview,Visit Kepler-47 AB proxy A/B components,Arrive at Kepler-47 b/c/d,Search sky angle where both Kepler-47 AB suns are visible,Solar System,TBD,Kepler-47 AB proxy pair close Scene,Kepler-47 AB planet,TBD,source-audited first pass,Orosz et al. Kepler-47 papers; Frontiers 2021 circumbinary table,pending,pending,pending,0.34 for unresolved display proxy,0.18 for unresolved display proxy,0.92 for unresolved display proxy,TBD,TBD
Kepler-38 AB,Kepler-38 (AB),kepler-38 a|kepler-38a|kepler-38 (ab)|kepler-38(ab)|kepler-38 ab|kepler-38 b|kepler-38b,Kepler-38 AB stellar components,"spectra, Teff, radius from discovery paper; catalog may be unresolved as AB. Numeric in member_params.",A:G-dwarf|5640|1.757|0.949;B:M-dwarf|3300|0.272|0.249,0.1469,18.795,AB binary semimajor axis; see source_notes for audit status.,AB binary orbital period; see source_notes for audit status.,0.1469,18.795,0.1032,89.27,Kepler-38 b,P-type/circumbinary,Kepler-38 AB barycenter,105.595,0.4644,<0.032,catalog_unresolved; display_proxy_pair; needs verification,N/A,N/A,0.0|0.745,0.34|0.18,"eye=0,-4.2,1.15; target=0.32,0,0.02; up=0,0,1",N/A,display_proxy,1|10|100|1000,0.03,46,yes,Show Kepler-38 AB binary system overview,Visit Kepler-38 AB proxy A/B components,Arrive at Kepler-38 b,Search sky angle where both Kepler-38 AB suns are visible,Solar System,TBD,Kepler-38 AB proxy pair close Scene,Kepler-38 AB planet,TBD,source-audited first pass,Orosz et al. 2012; Frontiers 2021 circumbinary table,pending,pending,pending,0.34 for unresolved display proxy,0.18 for unresolved display proxy,0.92 for unresolved display proxy,TBD,TBD
Kepler-64 (PH-1),Kepler-64 (AB),kepler-64 a|kepler-64a|kepler-64 (ab)|kepler-64(ab)|kepler-64 ab|kepler-64 b|kepler-64b|ph-1 a|ph-1 b|ph1 a|ph1 b|kepler-64 c|kepler-64 d,Kepler-64 (PH-1) stellar components,"spectra, Teff, radius from discovery paper; catalog may be unresolved as AB. Numeric in member_params.",A:F-dwarf|6407|1.734|1.528;B:M-dwarf|3561|0.378|0.408,0.1744,20,AB binary semimajor axis; see source_notes for audit status.,AB binary orbital period; see source_notes for audit status.,0.1744,20,0.2117,87.36,Kepler-64 b / PH1 b,P-type/circumbinary,Kepler-64 (PH-1) barycenter,138.506,0.634,0.0539,catalog_unresolved; display_proxy_pair; needs verification,N/A,N/A,0.0|0.811,0.34|0.18,"eye=0,-4.2,1.15; target=0.32,0,0.02; up=0,0,1",N/A,display_proxy,1|10|100|1000,0.03,47,yes,Show Kepler-64 (PH-1) binary system overview,Visit Kepler-64 (PH-1) proxy A/B components,Arrive at Kepler-64 b / PH1 b,Search sky angle where both Kepler-64 (PH-1) suns are visible,Solar System,TBD,Kepler-64 (PH-1) proxy pair close Scene,Kepler-64 (PH-1) planet,TBD,source-audited first pass,Kostov/Schwamb PH1 papers; Frontiers 2021 circumbinary table; quadruple system: planet orbits inner eclipsing AB; outer C/D pair is not the planet host binary,pending,pending,pending,0.34 for unresolved display proxy,0.18 for unresolved display proxy,0.92 for unresolved display proxy,TBD,TBD
Kepler-1647 AB,Kepler-1647 (AB),kepler-1647 a|kepler-1647a|kepler-1647 (ab)|kepler-1647(ab)|kepler-1647 ab|kepler-1647 b|kepler-1647b,Kepler-1647 AB stellar components,"spectra, Teff, radius from discovery paper; catalog may be unresolved as AB. Numeric in member_params.",A:F-dwarf|6210|1.790|1.221;B:G-dwarf|5770|0.966|0.968,0.1276,11.2588,AB binary semimajor axis; see source_notes for audit status.,AB binary orbital period; see source_notes for audit status.,0.1276,11.2588,0.1606,87.92,Kepler-1647 b,P-type/circumbinary,Kepler-1647 AB barycenter,1107.6,2.7205,0.0581,catalog_unresolved; display_proxy_pair; needs verification,N/A,N/A,0.0|0.694,0.34|0.18,"eye=0,-4.2,1.15; target=0.32,0,0.02; up=0,0,1",N/A,display_proxy,1|10|100|1000,0.03,48,yes,Show Kepler-1647 AB binary system overview,Visit Kepler-1647 AB proxy A/B components,Arrive at Kepler-1647 b,Search sky angle where both Kepler-1647 AB suns are visible,Solar System,TBD,Kepler-1647 AB proxy pair close Scene,Kepler-1647 AB planet,TBD,source-audited first pass,Kostov et al. 2016 / Kepler-1647 discovery paper; Frontiers 2021 circumbinary table,pending,pending,pending,0.34 for unresolved display proxy,0.18 for unresolved display proxy,0.92 for unresolved display proxy,TBD,TBD
Kepler-1660 AB,Kepler-1660 (AB),kepler-1660 a|kepler-1660a|kepler-1660 (ab)|kepler-1660(ab)|kepler-1660 ab|kepler-1660 b|kepler-1660b,Kepler-1660 AB stellar components,"spectra, Teff, radius from discovery paper; catalog may be unresolved as AB. Numeric in member_params.",A:K-dwarf|4900|0.7307|0.776;B:M-dwarf|3800|0.498|0.508,0.1793,18.610869,AB binary semimajor axis; see source_notes for audit status.,AB binary orbital period; see source_notes for audit status.,0.1793,18.610869,0.4973,84.399,Kepler-1660 AB b,P-type/circumbinary,Kepler-1660 AB barycenter,239.5044,0.8,0.05541,catalog_unresolved; display_proxy_pair; needs verification,N/A,N/A,0.0|0.823,0.34|0.18,"eye=0,-4.2,1.15; target=0.32,0,0.02; up=0,0,1",N/A,display_proxy,1|10|100|1000,0.03,49,yes,Show Kepler-1660 AB binary system overview,Visit Kepler-1660 AB proxy A/B components,Arrive at Kepler-1660 AB b,Search sky angle where both Kepler-1660 AB suns are visible,Solar System,TBD,Kepler-1660 AB proxy pair close Scene,Kepler-1660 AB planet,TBD,"source-audited first pass; binary semimajor axis derived, not directly tabulated",Goldberg et al. 2023 MNRAS; NASA Exoplanet catalog,pending,pending,pending,0.34 for unresolved display proxy,0.18 for unresolved display proxy,0.92 for unresolved display proxy,TBD,TBD
