host_name,planet_name,B_gauss,Prot_d,Prot_conf,r_A_au,a_over_rA,regime,Hu_bin,method,source
55 Cnc B,55 Cnc Bc,100.0,147.04528349097347,,1.081690803366164,0.1201822180566266,sub,M2B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:b_star_from_prot (canonical L142-175): floor(100G); P_rot=147.04528349097347; sp=M4.5 V
82 Eri,82 Eri d,2.711583141744831,136.13521409177204,,1.511143932752892,0.8960099502456934,borderline,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:b_star_from_prot (canonical L142-175): unsaturated_scaling; P_rot=136.13521409177204; sp=G6 V
GJ 1061,GJ 1061 b,300.0,131.6,,1.0518951751845718,0.0199639664630225,sub,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M5V scaling
GJ 1061,GJ 1061 c,300.0,131.6,,1.0518951751845718,0.0332732774383708,sub,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M5V scaling
GJ 1061,GJ 1061 d,300.0,131.6,,1.0518951751845718,0.0494345836227224,sub,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M5V scaling
GJ 1214,GJ 1214 b,650.0,53.1,,4.06193316752339,0.00347371544978,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Newton+2017 ApJ 834 85
GJ 15 A,GJ 15 Ab,200.0,44.0,,5.3718462665495155,0.0134032130532744,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022
GJ 15 A,GJ 15 Ac,200.0,44.0,,5.3718462665495155,1.0052409789955823,borderline,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022
GJ 163,GJ 163 b,400.0,61.0,,9.675523887540114,0.0062012146006136,sub,M1C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M3 scaling
GJ 163,GJ 163 c,400.0,61.0,,9.675523887540114,0.0128158435079348,sub,M1C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M3 scaling
