host_name,host_name_tessall,FFD_alpha,FFD_beta,n_flares_real,n_flares_candidate,obs_time_days,E_max_1yr_erg,E_max_method,alpha_reliable,source
55 Cnc B,55 Cnc B,,,0,15,94.0492067396217,1.2642551830819228e+33,spot-theoretical-from-MAD,False,RECOMP_20260831_RULEB
82 Eri,82 Eri,,,0,12,152.85957153872118,2.701099468447748e+31,spot-theoretical-from-MAD,False,RECOMP_20260831_RULEB
GJ 1002,GJ 1002,,,1,0,36.136119728401354,2.3365399261853943e+31,observed-max-real,False,RECOMP_20260901_NEWHOST
GJ 1061,GJ 1061,,,1,1,130.03246756044427,2.188655517069898e+31,observed-max-real,False,RECOMP_20260831_RULEB
GJ 15 A,GJ 15A,,,0,0,67.72227406025081,2.8628182421346355e+32,spot-theoretical-from-MAD,False,RECOMP_20260831_RULEB
GJ 163,GJ 163,,,2,0,152.862366485248,8.46757381878216e+31,observed-max-real,False,RECOMP_20260831_RULEB
GJ 180,GJ 180,,,0,0,90.23145261555237,1.2398918684069966e+33,spot-theoretical,False,RECOMP_20260831_RULEB
GJ 229,GJ 229 A,,,0,1,67.8897965607814,3.0960956962103606e+32,spot-theoretical-from-MAD,False,RECOMP_20260831_RULEB
Luyten's Star,GJ 273,,,0,1,22.774738345186734,6.706798391573386e+30,spot-theoretical,False,RECOMP_20260831_RULEB
GJ 3293,GJ 3293,,,0,0,109.89901790414729,3.9824554220230226e+32,spot-theoretical,False,RECOMP_20260831_RULEB
GJ 3323,GJ 3323,-0.5359755624715861,18.453517211504078,10,2,48.111379326848464,2.690131370391303e+34,FFD-1yr-extrapolation,True,RECOMP_20260831_RULEB
GJ 3378,GJ 3378,,,1,0,82.00592671901904,1.4892026148428707e+31,observed-max-real,False,RECOMP_20260831_RULEB
GJ 357,GJ 357,,,1,0,109.46503505865212,3.261845376338656e+31,observed-max-real,False,RECOMP_20260831_RULEB
GJ 367,GJ 367,,,0,1,168.05666189511408,7.64320339375872e+32,spot-theoretical-from-MAD,False,RECOMP_20260831_RULEB
GJ 4274,GJ 4274,-0.6428787266001245,22.547021305393116,21,5,55.96061985304004,1.1802301956643267e+35,FFD-1yr-extrapolation,True,RECOMP_20260831_RULEB
GJ 433,GJ 433,,,0,0,96.94487901609045,8.161939519370685e+32,spot-theoretical-from-MAD,False,RECOMP_20260831_RULEB
GJ 436,GJ 436,,,0,0,41.2762586490785,8.824582982597344e+32,spot-theoretical-from-MAD,False,RECOMP_20260831_RULEB
GJ 667 C,GJ 667 C,-0.6460440972218278,23.045277881086903,6,31,80.1734104752029,2.6243236242392187e+34,observed-max-real,False,RECOMP_20260831_RULEB
GJ 682,GJ 682,,,1,1,69.75263361630869,4.884210572668721e+31,observed-max-real,False,RECOMP_20260831_RULEB
GJ 832,GJ 832,,,0,1,136.92523174088183,3.411444449811343e+32,spot-theoretical-from-MAD,False,RECOMP_20260831_RULEB
GJ 876,GJ 876,,,0,0,102.20330071920034,3.6639171060786005e+32,spot-theoretical-from-MAD,False,RECOMP_20260831_RULEB
GJ 887,GJ 887,,,0,3,86.24778129007063,3.7367809304436493e+31,spot-theoretical,False,RECOMP_20260831_RULEB
