host_name,host_name_tessall,Prot_d,Prot_confidence,teff_used,bv_used,gyro_age_gyr,gyro_valid,note,method,source
55 Cnc B,55 Cnc B,147.04528349097347,MEDIUM,3286.0,1.574,31.64,False,fully convective (Teff<3300K): MH2008 calibration not established — indicative only,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
82 Eri,82 Eri,136.13521409177204,MEDIUM,5368.0,0.784,58.83,True,,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
GJ 1061,GJ 1061,147.77846086282298,LOW,3040.0,,NO_DATA,False,Prot confidence LOW — gyro not applicable,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
GJ 15 A,GJ 15A,115.81616444614423,LOW,3567.0,,NO_DATA,False,Prot confidence LOW — gyro not applicable,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
GJ 163,GJ 163,145.22821481582318,MEDIUM,3452.0,1.532,31.66,True,,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
GJ 180,GJ 180,43.33702252400467,MEDIUM,3754.0,1.479,3.85,True,,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
GJ 229,GJ 229 A,101.26237230395388,MEDIUM,3700.0,1.49,17.15,True,,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
Luyten's Star,GJ 273,7.407031778333135,HIGH,3370.0,1.549,0.16,True,,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
GJ 3293,GJ 3293,19.657687335335996,HIGH,3500.0,1.525,0.93,True,,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
GJ 3323,GJ 3323,8.811959724155793,HIGH,3160.0,1.646,0.21,False,fully convective (Teff<3300K): MH2008 calibration not established — indicative only,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
GJ 3378,GJ 3378,102.52934845537368,MEDIUM,3340.0,1.558,16.88,True,,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
GJ 357,GJ 357,139.91062568779176,LOW,3478.0,,NO_DATA,False,Prot confidence LOW — gyro not applicable,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
GJ 367,GJ 367,135.12335462064962,LOW,3645.0,,NO_DATA,False,Prot confidence LOW — gyro not applicable,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
GJ 4274,GJ 4274,4.565489751785218,HIGH,3228.0,1.592,0.07,False,fully convective (Teff<3300K): MH2008 calibration not established — indicative only,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
GJ 433,GJ 433,138.18172143991353,LOW,3461.0,,NO_DATA,False,Prot confidence LOW — gyro not applicable,Mamajek&Hillenbrand2008 (B-V from Pecaut&Mamajek2013),gyro_20260901; Prot: RECOMP pipeline
