name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_ratdor,pl_ratror,pl_orbincl,tran_flag,ttv_flag,e_min_1yr_erg,e_max_1yr_erg,e_min_3yr_erg,e_max_3yr_erg,annual_flare_freq,fficat_id,distancepc,obspermission,host_pmra,host_pmdec,host_parallax,host_radv,Star_Lx,Star_FUV,Star_NUV,Star_EUV,Star_FXUV,Star_NSPE,Aspot_p,Phi_p,B_dyn_p,Star_E_max_method,Star_E_max_1yr,Star_E_max_3yr,Star_E_min_1yr,Star_E_min_3yr,Star_AnnFreq,XEUV_AN,XEUV_PER_EARTH,Plage_factor,Faculae_factor,Network_factor,Sunspot_factor,Star_R_X,Custom1,Custom2,Custom3,Custom4
ASol d(100MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1.0,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Earth,Young Sun(100MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.7,,,G3,0.1,,,5750,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Earth 100 MY,AlfvenRadiusAU=0.180,Ocean/continent evolution; life-bearing Earth sequence,Hadean/early ocean candidate; strong young solar wind
ASol d(500MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1.0,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Earth,Young Sun(500MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.9,,,G3,0.5,,,5672,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Earth 500 MY,AlfvenRadiusAU=0.120,Ocean/continent evolution; life-bearing Earth sequence,Archean ocean world; early biosphere candidate
ASol d(700MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1.0,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Earth,Young Sun(700MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.903,,,G3,0.7,,,5675,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Earth 700 MY,AlfvenRadiusAU=0.100,Ocean/continent evolution; life-bearing Earth sequence,Late Archean transition
ASol d(1000MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1.0,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Earth,Young Sun(1000MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.908,,,G3,1.0,,,5678,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Earth 1000 MY,AlfvenRadiusAU=0.080,Ocean/continent evolution; life-bearing Earth sequence,Proterozoic oxygenation transition
ASol d(1500MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1.0,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Earth,Young Sun(1500MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.918,,,G3,1.5,,,5695,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Earth 1500 MY,AlfvenRadiusAU=0.060,Ocean/continent evolution; life-bearing Earth sequence,Mid-Proterozoic ocean world
ASol d(2000MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1.0,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Earth,Young Sun(2000MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.925,,,G2V,2.0,,,5706,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Earth 2000 MY,AlfvenRadiusAU=0.045,Ocean/continent evolution; life-bearing Earth sequence,Great-oxidation aftermath
ASol d(2500MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1.0,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Earth,Young Sun(2500MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.944,,,G2V,2.5,,,5724,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Earth 2500 MY,AlfvenRadiusAU=0.035,Ocean/continent evolution; life-bearing Earth sequence,Late Archean/Proterozoic boundary
ASol d(3000MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1.0,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Earth,Sun(3000MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.955,,,G2V,3.0,,,5736,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Earth 3000 MY,AlfvenRadiusAU=0.028,Ocean/continent evolution; life-bearing Earth sequence,Complex-life precursor Earth
ASol d(3500MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1.0,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Earth,Sun(3500MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.97,,,G2V,3.5,,,5753,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Earth 3500 MY,AlfvenRadiusAU=0.023,Ocean/continent evolution; life-bearing Earth sequence,Late Proterozoic Earth
ASol d(4000MY),Confirmed,0.003146313,,,,,,0.089215,,,365.256,,,1.0,,,0.017,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Earth,Sun(4000MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.982,,,G2V,4.0,,,5770,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Earth 4000 MY,AlfvenRadiusAU=0.020,Ocean/continent evolution; life-bearing Earth sequence,Near-modern Earth
