age_Gyr,rA_may_AU,rA_sep_AU,ratio_may_over_sep,regime_Earth_may,B_may_G,Mdot_may,vw_may
0.07,1.598,0.0137,116.64,sub,100.0,5.0,650.0
0.1,1.748,0.0137,127.59,sub,100.0,4.358,623.6
0.15,1.187,0.0137,86.64,sub,61.35,3.728,594.9
0.2,0.9021,0.0137,65.85,borderline,43.38,3.337,575.4
0.3,0.6127,0.0137,44.72,super,26.61,2.855,548.9
0.5,0.3763,0.0137,27.47,super,14.38,2.345,517.3
0.7,0.273,0.0174,15.69,super,9.589,2.06,497.4
1.0,0.1942,0.0251,7.74,super,6.239,1.795,477.2
1.5,0.1319,0.031,4.25,super,3.828,1.536,455.3
2.0,0.1002,0.0343,2.92,super,2.707,1.375,440.3
3.0,0.06808,0.0394,1.73,super,1.661,1.176,420.0
4.0,0.05174,0.0433,1.19,super,1.174,1.053,406.2
4.57,0.04556,0.0456,1.0,super,1.0,1.0,400.0
