planet_name,host_name,alpha_used,alpha_source,xuv_cumulative_erg_cm2,integration_gyr,escape_metric,shoreline_side,shoreline_margin,method,source,age_gyr_used,age_source,mass_me_used,mass_source,vesc_kms,xuv_rel_earth,flare_frac,host_name_tessall
Sol d (Earth),Sun,-0.8,default FGK (Shibayama+2013),8.6471e+18,4.57,11.19,boundary,-0.0,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),4.57,canonical solar age,1.0,"measured mass (exoplanet.eu, Mjup->Me)",11.19,1.000e+00,0.00,Sun
Sol e (Mars),Sun,-0.8,default FGK (Shibayama+2013),3.7247e+18,4.57,5.02,escape,-1.02,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),4.57,canonical solar age,0.107,"measured mass (exoplanet.eu, Mjup->Me)",5.02,4.307e-01,0.00,Sun
HD 40307 g,HD 40307,-0.8,default FGK (Shibayama+2013),5.7693e+18,5.0,22.89,retain,1.42,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),7.088,mass_sini lower limit (Mjup->Me),22.89,6.672e-01,0.00,HD 40307
GJ 180 c,GJ 180,-0.73,default M (Medina+2020),8.2631e+19,5.0,22.07,boundary,0.2,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),6.4,mass_sini lower limit (Mjup->Me),22.07,9.556e+00,0.00,GJ 180
GJ 682 b,GJ 682,-0.73,default M (Medina+2020),6.8058e+19,5.0,19.29,boundary,0.05,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),4.4,mass_sini lower limit (Mjup->Me),19.29,7.871e+00,0.00,GJ 682
GJ 3293 d,GJ 3293,-0.73,default M (Medina+2020),3.7809e+19,5.0,23.51,retain,0.65,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),7.628,mass_sini lower limit (Mjup->Me),23.51,4.372e+00,0.00,GJ 3293
GJ 3323 b,GJ 3323,-0.536,measured (RECOMP FFD fit),8.1230e+19,5.0,14.59,escape,-0.51,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),2.021,mass_sini lower limit (Mjup->Me),14.59,9.394e+00,0.03,GJ 3323
Wolf 1061 c,Wolf 1061,-0.73,default M (Medina+2020),8.9665e+19,5.0,17.58,boundary,-0.23,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),3.401,mass_sini lower limit (Mjup->Me),17.58,1.037e+01,0.00,Wolf 1061
tau Cet e,tau Cet,-0.8,default FGK (Shibayama+2013),1.3916e+19,5.8,18.54,retain,0.67,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.8,star_age (exoplanet.eu/master),3.941,mass_sini lower limit (Mjup->Me),18.54,1.609e+00,0.00,tau Cet
Ross 128 b,Ross 128,-0.73,default M (Medina+2020),9.8627e+19,5.0,12.78,escape,-0.83,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,star_age (exoplanet.eu/master),1.398,mass_sini lower limit (Mjup->Me),12.78,1.141e+01,0.00,Ross 128
GJ 357 d,GJ 357,-0.73,default M (Medina+2020),2.4880e+19,5.0,23.04,retain,0.8,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),7.215,mass_sini lower limit (Mjup->Me),23.04,2.877e+00,0.00,GJ 357
K2-72 e,K2-72,-0.73,default M (Medina+2020),7.4666e+19,5.0,15.76,boundary,-0.34,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),2.558,from radius (Zeng R^3.7 / Wolfgang+2016),15.76,8.635e+00,0.00,K2-72
Kepler-1544 b,Kepler-1544,-0.8,default FGK (Shibayama+2013),7.4587e+18,2.34,17.98,retain,0.89,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),2.34,star_age (exoplanet.eu/master),4.604,from radius (Zeng R^3.7 / Wolfgang+2016),17.98,8.626e-01,0.00,Kepler-1544
Kepler-1638 b,Kepler-1638,-0.8,default FGK (Shibayama+2013),1.1962e+19,4.37,17.95,retain,0.68,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),4.37,star_age (exoplanet.eu/master),4.819,from radius (Zeng R^3.7 / Wolfgang+2016),17.95,1.383e+00,0.00,Kepler-1638
Kepler-1652 b,Kepler-1652,-0.73,default M (Medina+2020),4.9923e+19,3.2,18.05,boundary,0.07,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),3.2,star_age (exoplanet.eu/master),4.172,from radius (Zeng R^3.7 / Wolfgang+2016),18.05,5.773e+00,0.00,Kepler-1652
Kepler-186 f,Kepler-186,-0.73,default M (Medina+2020),1.6530e+19,4.0,13.76,boundary,0.08,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),4.0,star_age (exoplanet.eu/master),1.764,from radius (Zeng R^3.7 / Wolfgang+2016),13.76,1.912e+00,0.00,Kepler-186
Kepler-442 b,Kepler-442,-0.8,default FGK (Shibayama+2013),6.0941e+18,2.9,16.69,retain,0.85,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),2.9,star_age (exoplanet.eu/master),2.995,from radius (Zeng R^3.7 / Wolfgang+2016),16.69,7.048e-01,0.00,Kepler-442
Kepler-452 b,Kepler-452,-0.8,default FGK (Shibayama+2013),9.7305e+18,6.0,18.04,retain,0.78,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),6.0,star_age (exoplanet.eu/master),4.226,from radius (Zeng R^3.7 / Wolfgang+2016),18.04,1.125e+00,0.00,Kepler-452
Kepler-62 e,Kepler-62,-0.8,default FGK (Shibayama+2013),1.0469e+19,7.0,52.77,retain,2.61,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),7.0,star_age (exoplanet.eu/master),35.915,"measured mass (exoplanet.eu, Mjup->Me)",52.77,1.211e+00,0.00,Kepler-62
Kepler-62 f,Kepler-62,-0.8,default FGK (Shibayama+2013),3.7028e+18,7.0,55.65,retain,3.16,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),7.0,star_age (exoplanet.eu/master),34.961,"measured mass (exoplanet.eu, Mjup->Me)",55.65,4.282e-01,0.00,Kepler-62
HD 216520 c,HD 216520,-0.8,default FGK (Shibayama+2013),1.1052e+19,6.0,25.38,retain,1.32,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),6.0,star_age (exoplanet.eu/master),9.44,mass_sini lower limit (Mjup->Me),25.38,1.278e+00,0.00,HD 216520
Ross 508 b,Ross 508,-0.73,default M (Medina+2020),8.5197e+19,5.0,18.59,boundary,-0.11,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),3.97,mass_sini lower limit (Mjup->Me),18.59,9.853e+00,0.00,Ross 508
